NAME_1,NAME_2,STATE/UT,DISTRICT,CRIME_RATE
A & N ISLANDS,ANDAMAN,A & N ISLANDS,ANDAMAN,0.8104812129202373
A & N ISLANDS,NICOBAR,A & N ISLANDS,NICOBAR,0.025818501428257527
ANDHRA PRADESH,ADILABAD,ANDHRA PRADESH,ADILABAD,0.030688253133635233
ANDHRA PRADESH,ANANTAPUR,ANDHRA PRADESH,ANANTAPUR,0.02968180483124903
ANDHRA PRADESH,CHITTOOR,ANDHRA PRADESH,CHITTOOR,0.03738073810501436
ANDHRA PRADESH,CUDDAPAH,ANDHRA PRADESH,CUDDAPAH,0.02880017196793828
ANDHRA PRADESH,EAST GODAVARI,ANDHRA PRADESH,EAST GODAVARI,0.04615843338793183
ANDHRA PRADESH,GUNTUR,ANDHRA PRADESH,GUNTUR,0.04808911029871009
ANDHRA PRADESH,HYDERABAD CITY,ANDHRA PRADESH,HYDERABAD CITY,0.10051159471040094
ANDHRA PRADESH,KARIMNAGAR,ANDHRA PRADESH,KARIMNAGAR,0.04790931663051807
ANDHRA PRADESH,KHAMMAM,ANDHRA PRADESH,KHAMMAM,0.03412761189926998
ANDHRA PRADESH,KRISHNA,ANDHRA PRADESH,KRISHNA,0.033603585174897636
ANDHRA PRADESH,KURNOOL,ANDHRA PRADESH,KURNOOL,0.036594202719094436
ANDHRA PRADESH,MAHABOOBNAGAR,ANDHRA PRADESH,MAHABOOBNAGAR,0.035630845461150945
ANDHRA PRADESH,MEDAK,ANDHRA PRADESH,MEDAK,0.030672403554070096
ANDHRA PRADESH,NALGONDA,ANDHRA PRADESH,NALGONDA,0.042282715884894406
ANDHRA PRADESH,NELLORE,ANDHRA PRADESH,NELLORE,0.03540152185681787
ANDHRA PRADESH,NIZAMABAD,ANDHRA PRADESH,NIZAMABAD,0.03066497406364894
ANDHRA PRADESH,PRAKASHAM,ANDHRA PRADESH,PRAKASHAM,0.029898250652185435
ANDHRA PRADESH,RANGA REDDY,ANDHRA PRADESH,RANGA REDDY,0.020325599894204058
ANDHRA PRADESH,SRIKAKULAM,ANDHRA PRADESH,SRIKAKULAM,0.019957097169314618
ANDHRA PRADESH,VISAKHAPATNAM,ANDHRA PRADESH,VISAKHAPATNAM,0.027326161068380535
ANDHRA PRADESH,VIZIANAGARAM,ANDHRA PRADESH,VIZIANAGARAM,0.018697550893247632
ANDHRA PRADESH,WARANGAL,ANDHRA PRADESH,WARANGAL,0.037319320984199454
ANDHRA PRADESH,WEST GODAVARI,ANDHRA PRADESH,WEST GODAVARI,0.0445913062084289
ARUNACHAL PRADESH,CHANGLANG,ARUNACHAL PRADESH,CHANGLANG,0.0795964125560538
ARUNACHAL PRADESH,KAMENG EAST,ARUNACHAL PRADESH,KAMENG EAST,0.053558512946622304
ARUNACHAL PRADESH,SIANG EAST,ARUNACHAL PRADESH,SIANG EAST,0.10393461594098076
ARUNACHAL PRADESH,K/KUMEY,ARUNACHAL PRADESH,K/KUMEY,0.018335020974974685
ARUNACHAL PRADESH,LOHIT,ARUNACHAL PRADESH,LOHIT,0.07789671633154925
ARUNACHAL PRADESH,DIBANG VALLEY,ARUNACHAL PRADESH,DIBANG VALLEY,0.052220454216693184
ARUNACHAL PRADESH,SUBANSIRI LOWER,ARUNACHAL PRADESH,SUBANSIRI LOWER,0.052799074208013885
ARUNACHAL PRADESH,PAPUM PARE,ARUNACHAL PRADESH,PAPUM PARE,0.21166642557500362
ARUNACHAL PRADESH,TAWANG,ARUNACHAL PRADESH,TAWANG,0.02097497468537538
ARUNACHAL PRADESH,TIRAP,ARUNACHAL PRADESH,TIRAP,0.05883842036742369
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,0.005352234919716477
ARUNACHAL PRADESH,SIANG UPPER,ARUNACHAL PRADESH,SIANG UPPER,0.02589324461160133
ARUNACHAL PRADESH,SUBANSIRI UPPER,ARUNACHAL PRADESH,SUBANSIRI UPPER,0.06390134529147982
ARUNACHAL PRADESH,KAMENG WEST,ARUNACHAL PRADESH,KAMENG WEST,0.04690438304643425
ARUNACHAL PRADESH,SIANG WEST,ARUNACHAL PRADESH,SIANG WEST,0.11427744828583827
ASSAM,BARPETA,ASSAM,BARPETA,0.04714235049283664
ASSAM,BONGAIGAON,ASSAM,BONGAIGAON,0.021568712736129977
ASSAM,CACHAR,ASSAM,CACHAR,0.08080111883619623
ASSAM,DARRANG,ASSAM,DARRANG,0.03492682730977443
ASSAM,DHEMAJI,ASSAM,DHEMAJI,0.019564577324830534
ASSAM,DHUBRI,ASSAM,DHUBRI,0.05884596596650183
ASSAM,DIBRUGARH,ASSAM,DIBRUGARH,0.04296344376710541
ASSAM,GOALPARA,ASSAM,GOALPARA,0.02901144933451998
ASSAM,GOLAGHAT,ASSAM,GOLAGHAT,0.031278230204562336
ASSAM,HAILAKANDI,ASSAM,HAILAKANDI,0.020807542776078852
ASSAM,JORHAT,ASSAM,JORHAT,0.02991648878152582
ASSAM,KAMRUP,ASSAM,KAMRUP,0.04492241085110512
ASSAM,KARBI ANGLONG,ASSAM,KARBI ANGLONG,0.01364083484452058
ASSAM,KARIMGANJ,ASSAM,KARIMGANJ,0.02503496363113202
ASSAM,KOKRAJHAR,ASSAM,KOKRAJHAR,0.028430952683667802
ASSAM,LAKHIMPUR,ASSAM,LAKHIMPUR,0.035913838906324234
ASSAM,MORIGAON,ASSAM,MORIGAON,0.02237505102348084
ASSAM,NAGAON,ASSAM,NAGAON,0.08578134514624501
ASSAM,NALBARI,ASSAM,NALBARI,0.024059662341659918
ASSAM,N.C.HILLS,ASSAM,N.C.HILLS,0.004551963651206831
ASSAM,SIBSAGAR,ASSAM,SIBSAGAR,0.040347026585742865
ASSAM,SONITPUR,ASSAM,SONITPUR,0.056288100320527834
ASSAM,TINSUKIA,ASSAM,TINSUKIA,0.03997564256127836
BIHAR,ARARIA,BIHAR,ARARIA,0.02110610394616922
BIHAR,AURANGABAD,BIHAR,AURANGABAD,0.023727375838691875
BIHAR,BANKA,BIHAR,BANKA,0.014370571636337707
BIHAR,BEGUSARAI,BIHAR,BEGUSARAI,0.0282442232114406
BIHAR,BHABHUA,BIHAR,BHABHUA,0.014326747595062887
BIHAR,BHAGALPUR,BIHAR,BHAGALPUR,0.028549505939643154
BIHAR,BHOJPUR,BIHAR,BHOJPUR,0.03008706128606477
BIHAR,BUXAR,BIHAR,BUXAR,0.01641321762796063
BIHAR,DARBHANGA,BIHAR,DARBHANGA,0.03370960110466295
BIHAR,GAYA,BIHAR,GAYA,0.03582801069306607
BIHAR,GOPALGANJ,BIHAR,GOPALGANJ,0.023405009162195747
BIHAR,JAMUI,BIHAR,JAMUI,0.013870680453660533
BIHAR,JEHANABAD,BIHAR,JEHANABAD,0.012948147245807562
BIHAR,KATIHAR,BIHAR,KATIHAR,0.02215565259568311
BIHAR,KHAGARIA,BIHAR,KHAGARIA,0.014361658272010625
BIHAR,KISHANGANJ,BIHAR,KISHANGANJ,0.00999708087318288
BIHAR,LAKHISARAI,BIHAR,LAKHISARAI,0.009327092987930562
BIHAR,MADHEPURA,BIHAR,MADHEPURA,0.012977858460231168
BIHAR,MADHUBANI,BIHAR,MADHUBANI,0.03125842591471544
BIHAR,MUNGER,BIHAR,MUNGER,0.016872998671165935
BIHAR,MUZAFFARPUR,BIHAR,MUZAFFARPUR,0.051439025531589334
BIHAR,NALANDA,BIHAR,NALANDA,0.0339175796056282
BIHAR,NAWADAH,BIHAR,NAWADAH,0.01684922969962705
BIHAR,PASHCHIM CHAMPARAN,,,
BIHAR,PATNA,BIHAR,PATNA,0.10959129996219248
BIHAR,PURBA CHAMPARAN,,,
BIHAR,PURNEA,BIHAR,PURNEA,0.023322560542170242
BIHAR,ROHTAS,BIHAR,ROHTAS,0.030978397718772956
BIHAR,SAHARSA,BIHAR,SAHARSA,0.015090325805749566
BIHAR,SAMASTIPUR,BIHAR,SAMASTIPUR,0.03143297929945413
BIHAR,SARAN,BIHAR,SARAN,0.035262754838656964
BIHAR,SHEIKHPURA,BIHAR,SHEIKHPURA,0.007700403998238125
BIHAR,SHEOHAR,BIHAR,SHEOHAR,0.004421771486593186
BIHAR,SITAMARHI,BIHAR,SITAMARHI,0.026286996961285544
BIHAR,SIWAN,BIHAR,SIWAN,0.022918488026009196
BIHAR,SUPAUL,BIHAR,SUPAUL,0.015377039024937365
BIHAR,VAISHALI,BIHAR,VAISHALI,0.03654776486247793
CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,1.0
CHHATTISGARH,BALODA BAZAR,CHHATTISGARH,BALODA BAZAR,0.004226178062731384
CHHATTISGARH,BILASPUR,CHHATTISGARH,BILASPUR,0.11593024934628815
CHHATTISGARH,DANTEWARA,CHHATTISGARH,DANTEWARA,0.014423548242776195
CHHATTISGARH,DHAMTARI,CHHATTISGARH,DHAMTARI,0.028590424346778318
CHHATTISGARH,DURG,CHHATTISGARH,DURG,0.15537041889249537
CHHATTISGARH,JANJGIR,CHHATTISGARH,JANJGIR,0.05702577594304731
CHHATTISGARH,JASHPUR,CHHATTISGARH,JASHPUR,0.021972204546305257
CHHATTISGARH,KANKER,CHHATTISGARH,KANKER,0.02102394358916772
CHHATTISGARH,KAWARDHA,CHHATTISGARH,KAWARDHA,0.0012209751045849843
CHHATTISGARH,KORBA,CHHATTISGARH,KORBA,0.05010097553237188
CHHATTISGARH,KORIYA,CHHATTISGARH,KORIYA,0.03339233227634321
CHHATTISGARH,MAHASAMUND,CHHATTISGARH,MAHASAMUND,0.03382190161970814
CHHATTISGARH,RAIGARH,CHHATTISGARH,RAIGARH,0.05272830006398979
CHHATTISGARH,RAIPUR,CHHATTISGARH,RAIPUR,0.17558869715717781
CHHATTISGARH,RAJNANDGAON,CHHATTISGARH,RAJNANDGAON,0.058818916023649484
CHHATTISGARH,SARGUJA,CHHATTISGARH,SARGUJA,0.04609938559106781
D & N HAVELI,D & N HAVELI,,,
DAMAN & DIU,DAMAN,DAMAN & DIU,DAMAN,0.8134328358208955
DAMAN & DIU,DIU,DAMAN & DIU,DIU,0.1865671641791045
DELHI UT,NEW DELHI,DELHI UT,NEW DELHI,0.03745100083073531
GOA,NORTH GOA,GOA,NORTH GOA,0.5693426102149699
GOA,SOUTH GOA,GOA,SOUTH GOA,0.4306573897850301
GUJARAT,AHMADABAD COMMR.,,,
GUJARAT,AMRELI,GUJARAT,AMRELI,0.020025617434287674
GUJARAT,ANAND,GUJARAT,ANAND,0.029855496022081505
GUJARAT,BHAVNAGAR,GUJARAT,BHAVNAGAR,0.047420396529018055
GUJARAT,BHARUCH,GUJARAT,BHARUCH,0.024797676390467427
GUJARAT,BHAVNAGAR,GUJARAT,BHAVNAGAR,0.047420396529018055
GUJARAT,DAHOD,GUJARAT,DAHOD,0.014733993613681875
GUJARAT,GANDHINAGAR,GUJARAT,GANDHINAGAR,0.0354090671285021
GUJARAT,JAMNAGAR,GUJARAT,JAMNAGAR,0.0385084158683769
GUJARAT,JUNAGADH,GUJARAT,JUNAGADH,0.042362576897403977
GUJARAT,KUTH (EAST(G)),,,
GUJARAT,KHEDA NORTH,GUJARAT,KHEDA NORTH,0.038444191878190904
GUJARAT,MEHSANA,GUJARAT,MEHSANA,0.04156302430048168
GUJARAT,NARMADA,GUJARAT,NARMADA,0.006146740993306994
GUJARAT,NAVSARI,GUJARAT,NAVSARI,0.010557991015857552
GUJARAT,PANCH MAHALS,,,
GUJARAT,PATAN,GUJARAT,PATAN,0.023006620843932096
GUJARAT,PORBANDAR,GUJARAT,PORBANDAR,0.008650754992693618
GUJARAT,RAJKOT COMMR.,GUJARAT,RAJKOT COMMR.,0.03765113384207393
GUJARAT,HIMATNAGAR,GUJARAT,HIMATNAGAR,0.040860168497772006
GUJARAT,SURAT COMMR.,GUJARAT,SURAT COMMR.,0.061366383431653765
GUJARAT,SURENDRANAGAR,GUJARAT,SURENDRANAGAR,0.026300084790099404
GUJARAT,DAHOD,GUJARAT,DAHOD,0.014733993613681875
GUJARAT,VADODARA COMMR.,GUJARAT,VADODARA COMMR.,0.04867168191084411
GUJARAT,VALSAD,GUJARAT,VALSAD,0.019610687160614097
HARYANA,AMBALA,HARYANA,AMBALA,0.04446643138032229
HARYANA,BHIWANI,HARYANA,BHIWANI,0.050359228829688414
HARYANA,FARIDABAD,HARYANA,FARIDABAD,0.10747468096078804
HARYANA,FATEHABAD,HARYANA,FATEHABAD,0.02729030426522292
HARYANA,GURGAON,HARYANA,GURGAON,0.1087866179071834
HARYANA,HISSAR,HARYANA,HISSAR,0.06424627458621912
HARYANA,JHAJJAR,HARYANA,JHAJJAR,0.03277994567472363
HARYANA,JIND,HARYANA,JIND,0.0345319946313054
HARYANA,KAITHAL,HARYANA,KAITHAL,0.029714279954913717
HARYANA,KARNAL,HARYANA,KARNAL,0.05970069023673659
HARYANA,KURUKSHETRA,HARYANA,KURUKSHETRA,0.044511786434807146
HARYANA,MAHENDRAGARH,HARYANA,MAHENDRAGARH,0.03127482979255942
HARYANA,PANCHKULA,HARYANA,PANCHKULA,0.026772920680728972
HARYANA,PANIPAT,HARYANA,PANIPAT,0.049042252432794725
HARYANA,REWARI,HARYANA,REWARI,0.039054061545129116
HARYANA,ROHTAK,HARYANA,ROHTAK,0.04822250181840172
HARYANA,SIRSA,HARYANA,SIRSA,0.03763461632143631
HARYANA,SONIPAT,HARYANA,SONIPAT,0.054748590213723095
HARYANA,YAMUNANAGAR,HARYANA,YAMUNANAGAR,0.03581537469154363
HIMACHAL PRADESH,BILASPUR,HIMACHAL PRADESH,BILASPUR,0.08542865993752743
HIMACHAL PRADESH,CHAMBA,HIMACHAL PRADESH,CHAMBA,0.05012004027157498
HIMACHAL PRADESH,HAMIRPUR,HIMACHAL PRADESH,HAMIRPUR,0.071985440276738
HIMACHAL PRADESH,KANGRA,HIMACHAL PRADESH,KANGRA,0.17516198982884582
HIMACHAL PRADESH,KINNAUR,HIMACHAL PRADESH,KINNAUR,0.014508093037664248
HIMACHAL PRADESH,KULLU,HIMACHAL PRADESH,KULLU,0.06553166223507241
HIMACHAL PRADESH,LAHAUL-SPITI,HIMACHAL PRADESH,LAHAUL-SPITI,0.005305005550249116
HIMACHAL PRADESH,MANDI,HIMACHAL PRADESH,MANDI,0.1423058058187263
HIMACHAL PRADESH,SHIMLA,HIMACHAL PRADESH,SHIMLA,0.15456153031984923
HIMACHAL PRADESH,SIRMAUR,HIMACHAL PRADESH,SIRMAUR,0.06076232026228154
HIMACHAL PRADESH,SOLAN,HIMACHAL PRADESH,SOLAN,0.09266334512223455
HIMACHAL PRADESH,UNA,HIMACHAL PRADESH,UNA,0.06850685391228024
JAMMU & KASHMIR,ANANTNAG (KASHMIR SOUTH),,,
JAMMU & KASHMIR,BAGDAM,,,
JAMMU & KASHMIR,BARAMULA (KASHMIR NORTH),,,
JAMMU & KASHMIR,DODA,JAMMU & KASHMIR,DODA,0.034708957959522294
JAMMU & KASHMIR,JAMMU,JAMMU & KASHMIR,JAMMU,0.16766413922170129
JAMMU & KASHMIR,KARGIL,JAMMU & KASHMIR,KARGIL,0.004587987883698945
JAMMU & KASHMIR,KATHUA,JAMMU & KASHMIR,KATHUA,0.04882020412494453
JAMMU & KASHMIR,KUPWARA (MUZAFFARABAD),,,
JAMMU & KASHMIR,LADAKH (LEH),,,
JAMMU & KASHMIR,PULWAMA,JAMMU & KASHMIR,PULWAMA,0.03377901256005093
JAMMU & KASHMIR,PUNCH,,,
JAMMU & KASHMIR,RAJAURI,,,
JAMMU & KASHMIR,SRINAGAR,JAMMU & KASHMIR,SRINAGAR,0.13016534506376493
JAMMU & KASHMIR,UDHAMPUR,JAMMU & KASHMIR,UDHAMPUR,0.047897976114680406
JHARKHAND,BOKARO,JHARKHAND,BOKARO,0.07209169624317215
JHARKHAND,CHATRA,JHARKHAND,CHATRA,0.025256244213935804
JHARKHAND,DEOGHAR,JHARKHAND,DEOGHAR,0.04380953282932916
JHARKHAND,DHANBAD,JHARKHAND,DHANBAD,0.10210464755617958
JHARKHAND,DUMKA,JHARKHAND,DUMKA,0.03902678104230841
JHARKHAND,GARHWA,JHARKHAND,GARHWA,0.03448790224244763
JHARKHAND,GIRIDIH,JHARKHAND,GIRIDIH,0.06918652968739271
JHARKHAND,GODDA,JHARKHAND,GODDA,0.0450360008618424
JHARKHAND,GUMLA,JHARKHAND,GUMLA,0.02453409604807376
JHARKHAND,HAZARIBAGH,JHARKHAND,HAZARIBAGH,0.07566218619110644
JHARKHAND,JAMTARA,JHARKHAND,JAMTARA,0.016900634780076286
JHARKHAND,KODERMA,JHARKHAND,KODERMA,0.02443938809189513
JHARKHAND,LATEHAR,JHARKHAND,LATEHAR,0.01438377084462923
JHARKHAND,LOHARDAGGA,JHARKHAND,LOHARDAGGA,0.014315107576399724
JHARKHAND,PAKUR,JHARKHAND,PAKUR,0.019550089854173426
JHARKHAND,PALAMU,JHARKHAND,PALAMU,0.050405941977170646
JHARKHAND,SIMDEGA,JHARKHAND,SIMDEGA,0.010479435351165262
JHARKHAND,PURBA SINGHBHUM,,,
JHARKHAND,RANCHI,JHARKHAND,RANCHI,0.11871642306991105
JHARKHAND,SAHEBGANJ,JHARKHAND,SAHEBGANJ,0.025005268130062437
JHARKHAND,SARAIKELA,JHARKHAND,SARAIKELA,0.024950811055259724
JHARKHAND,SIMDEGA,JHARKHAND,SIMDEGA,0.010479435351165262
KARNATAKA,BAGALKOT,KARNATAKA,BAGALKOT,0.016692065091086606
KARNATAKA,BANGALORE RURAL,KARNATAKA,BANGALORE RURAL,0.052300948710486996
KARNATAKA,BANGALORE COMMR.,KARNATAKA,BANGALORE COMMR.,0.23655104475636757
KARNATAKA,BELGAUM,KARNATAKA,BELGAUM,0.04975953082346936
KARNATAKA,BELLARY,KARNATAKA,BELLARY,0.028258757392494446
KARNATAKA,BIDAR,KARNATAKA,BIDAR,0.0306523085108466
KARNATAKA,BIJAPUR,KARNATAKA,BIJAPUR,0.025648470051577818
KARNATAKA,CHAMARAJNAGAR,KARNATAKA,CHAMARAJNAGAR,0.012491703593972708
KARNATAKA,CHICKMAGALUR,KARNATAKA,CHICKMAGALUR,0.023430468521595638
KARNATAKA,CHITRADURGA,KARNATAKA,CHITRADURGA,0.03036940359728114
KARNATAKA,DAKSHIN KANNADA,KARNATAKA,DAKSHIN KANNADA,0.028547739022580402
KARNATAKA,DAVANAGERE,KARNATAKA,DAVANAGERE,0.024419622932987994
KARNATAKA,DHARWAD COMMR.,KARNATAKA,DHARWAD COMMR.,0.0160445571862912
KARNATAKA,GADAG,KARNATAKA,GADAG,0.008386543989013296
KARNATAKA,GULBARGA,KARNATAKA,GULBARGA,0.03853988655445447
KARNATAKA,HASSAN,KARNATAKA,HASSAN,0.03885114947844893
KARNATAKA,HAVERI,KARNATAKA,HAVERI,0.016966192525233566
KARNATAKA,KODAGU,KARNATAKA,KODAGU,0.012859007348100655
KARNATAKA,KOLAR,KARNATAKA,KOLAR,0.022587830497419758
KARNATAKA,KOPPAL,KARNATAKA,KOPPAL,0.012931252755622144
KARNATAKA,MANDYA,KARNATAKA,MANDYA,0.03857027013705697
KARNATAKA,MYSORE COMMR.,KARNATAKA,MYSORE COMMR.,0.02124082500204245
KARNATAKA,RAICHUR,KARNATAKA,RAICHUR,0.02270261292058474
KARNATAKA,SHIMOGA,KARNATAKA,SHIMOGA,0.03740354056512113
KARNATAKA,TUMKUR,KARNATAKA,TUMKUR,0.03776814355635108
KARNATAKA,UDUPI,KARNATAKA,UDUPI,0.018833770069200298
KARNATAKA,UTTAR KANNANDA,,,
KERALA,ALAPUZHA,KERALA,ALAPUZHA,0.06594135902310953
KERALA,ERNAKULAM,KERALA,ERNAKULAM,0.021229127230759277
KERALA,IDUKKI,KERALA,IDUKKI,0.04368055019308377
KERALA,KANNUR,KERALA,KANNUR,0.049657764151881896
KERALA,KASARGOD,KERALA,KASARGOD,0.028599076564966373
KERALA,KOLLAM,KERALA,KOLLAM,0.06787741424277145
KERALA,KOTTAYAM,KERALA,KOTTAYAM,0.06802211402203472
KERALA,KOZHIKODE,KERALA,KOZHIKODE,0.011923818348905952
KERALA,MALAPPURAM,KERALA,MALAPPURAM,0.06834212314925156
KERALA,PALAKKAD,KERALA,PALAKKAD,0.05615673212244662
KERALA,PATHANAMTHITTA,KERALA,PATHANAMTHITTA,0.03998374910171351
KERALA,TRIVANDRUM COMMR.,KERALA,TRIVANDRUM COMMR.,0.039674175054731996
KERALA,THRISSUR,KERALA,THRISSUR,0.07067540708987179
KERALA,WAYANADU,KERALA,WAYANADU,0.021091384171652895
LAKSHADWEEP,LAKSHADWEEP,LAKSHADWEEP,LAKSHADWEEP,1.0
MADHYA PRADESH,ANUPPUR,MADHYA PRADESH,ANUPPUR,0.005744540697746678
MADHYA PRADESH,ASHOK NAGAR,MADHYA PRADESH,ASHOK NAGAR,0.00950049093327036
MADHYA PRADESH,BALAGHAT,MADHYA PRADESH,BALAGHAT,0.01334427058087556
MADHYA PRADESH,BARWANI,MADHYA PRADESH,BARWANI,0.01037339928825033
MADHYA PRADESH,BETUL,MADHYA PRADESH,BETUL,0.015411576082228215
MADHYA PRADESH,BHIND,MADHYA PRADESH,BHIND,0.017768470069642096
MADHYA PRADESH,BHOPAL,MADHYA PRADESH,BHOPAL,0.07025317242322177
MADHYA PRADESH,BURHANPUR,MADHYA PRADESH,BURHANPUR,0.005159149380429784
MADHYA PRADESH,CHHATARPUR,MADHYA PRADESH,CHHATARPUR,0.021275017918028643
MADHYA PRADESH,CHHINDWARA,MADHYA PRADESH,CHHINDWARA,0.021671493141434354
MADHYA PRADESH,DAMOH,MADHYA PRADESH,DAMOH,0.014412723664640791
MADHYA PRADESH,DATIYA,MADHYA PRADESH,DATIYA,0.011355680118652563
MADHYA PRADESH,DEWAS,MADHYA PRADESH,DEWAS,0.029524768308496666
MADHYA PRADESH,DHAR,MADHYA PRADESH,DHAR,0.026108121320589782
MADHYA PRADESH,DINDORI,MADHYA PRADESH,DINDORI,0.004335127207646131
MADHYA PRADESH,KHANDWA,MADHYA PRADESH,KHANDWA,0.01710726374095295
MADHYA PRADESH,GUNA,MADHYA PRADESH,GUNA,0.01934401372127419
MADHYA PRADESH,GWALIOR,MADHYA PRADESH,GWALIOR,0.04607149811291051
MADHYA PRADESH,HARDA,MADHYA PRADESH,HARDA,0.005763598023009649
MADHYA PRADESH,HOSHANGABAD,MADHYA PRADESH,HOSHANGABAD,0.017115135244865916
MADHYA PRADESH,INDORE,MADHYA PRADESH,INDORE,0.08467998193696996
MADHYA PRADESH,JABALPUR,MADHYA PRADESH,JABALPUR,0.049485245073059986
MADHYA PRADESH,JHABUA,MADHYA PRADESH,JHABUA,0.012024343661575046
MADHYA PRADESH,KATNI,MADHYA PRADESH,KATNI,0.014051048774323983
MADHYA PRADESH,MANDLA,MADHYA PRADESH,MANDLA,0.009377861188099943
MADHYA PRADESH,MANDSAUR,MADHYA PRADESH,MANDSAUR,0.015607120811013477
MADHYA PRADESH,MORENA,MADHYA PRADESH,MORENA,0.024976696205520826
MADHYA PRADESH,NARSINGHPUR,MADHYA PRADESH,NARSINGHPUR,0.012751422049325329
MADHYA PRADESH,NEEMUCH,MADHYA PRADESH,NEEMUCH,0.010466200176487403
MADHYA PRADESH,PANNA,MADHYA PRADESH,PANNA,0.008871184909912708
MADHYA PRADESH,RAISEN,MADHYA PRADESH,RAISEN,0.018088715991995925
MADHYA PRADESH,RAJGARH,MADHYA PRADESH,RAJGARH,0.022477286568314297
MADHYA PRADESH,RATLAM,MADHYA PRADESH,RATLAM,0.018097416075268147
MADHYA PRADESH,REWA,MADHYA PRADESH,REWA,0.023866399864112986
MADHYA PRADESH,SAGAR,MADHYA PRADESH,SAGAR,0.039364562489383824
MADHYA PRADESH,SATNA,MADHYA PRADESH,SATNA,0.02595441984944713
MADHYA PRADESH,SEONI,MADHYA PRADESH,SEONI,0.012199588196058448
MADHYA PRADESH,SEONI,MADHYA PRADESH,SEONI,0.012199588196058448
MADHYA PRADESH,SHAHDOL,MADHYA PRADESH,SHAHDOL,0.015949738376067314
MADHYA PRADESH,SHAJAPUR,MADHYA PRADESH,SHAJAPUR,0.017905185663919927
MADHYA PRADESH,SHEOPUR,MADHYA PRADESH,SHEOPUR,0.006036200632206051
